Country_name,year,Life_Ladder,Log_GDP_per_capita_x,Social_support_x,Healthy_life_expectancy_at_birth_x,Freedom_to_make_life_choices_x,Generosity_x,Perceptions_of_corruption_x,Regional_indicator,level_happiness_x,Life_Ladder_Avg,Log_GDP_per_capita_y,Social_support_y,Healthy_life_expectancy_at_birth_y,Freedom_to_make_life_choices_y,Generosity_y,Perceptions_of_corruption_y,level_happiness_y,MAE
Belgium,2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,Western Europe,2,6.928,10.834,0.922,71.8,0.857,0.054,0.543,2.0,0.0
Belgium,2018,6.892,10.844,0.93,72.0,0.808,-0.125,0.63,Western Europe,2,6.892,10.844,0.93,72.0,0.808,-0.125,0.63,2.0,0.0
Belgium,2019,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,Western Europe,2,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,2.0,0.0
Belgium,2020,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Western Europe,2,6.889,10.832,0.91,71.8,0.8351999999999998,-0.0474,0.5622,2.0,0.018999882000000134
Belgium,2020,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Western Europe,2,6.876,10.8242,0.9138,72.0,0.8148,-0.0925999999999999,0.5952,2.0,0.018999882000000134
Belgium,2021,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,Western Europe,2,6.858900023599999,10.79512786,0.9103265076,72.08032958999999,0.8043164125999999,-0.0971382398,0.6182595904,2.0,0.02490002359999899
Benin,2017,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,Sub-Saharan Africa,0,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,0.0,0.0
Benin,2018,5.82,8.059,0.504,54.3,0.713,0.002,0.747,Sub-Saharan Africa,0,5.82,8.059,0.504,54.3,0.713,0.002,0.747,0.0,0.0
Benin,2019,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,Sub-Saharan Africa,0,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,0.0,0.0
Benin,2020,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,Sub-Saharan Africa,0,4.6562,8.0318,0.4618,53.9,0.7445999999999999,-0.0341999999999999,0.78,0.0,0.48150007999999955
Benin,2020,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,Sub-Saharan Africa,0,4.8128,8.054599999999999,0.4764,54.3,0.7546,-0.0454,0.7163999999999999,0.0,0.48150007999999955
Benin,2021,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,Sub-Saharan Africa,0,5.054600016,7.9908639488,0.4715342285999999,54.462493134,0.7456365166,-0.0331074426,0.6969065153999999,0.0,0.009600016000000267
Bolivia,2017,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,Latin America and Caribbean,1,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,1.0,0.0
Bolivia,2018,5.916,9.066,0.827,63.6,0.863,-0.093,0.786,Latin America and Caribbean,1,5.916,9.066,0.827,63.6,0.863,-0.093,0.786,1.0,0.0
Bolivia,2019,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,Latin America and Caribbean,1,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,1.0,0.0
Bolivia,2020,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,Latin America and Caribbean,1,5.769,9.0352,0.8029999999999999,63.3,0.8788,-0.0752,0.8353999999999999,1.0,0.027499999999999858
Bolivia,2020,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,Latin America and Caribbean,1,5.714,9.0378,0.7982,63.6,0.8774,-0.0799999999999999,0.8366000000000001,1.0,0.027499999999999858
Bolivia,2021,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,Latin America and Caribbean,1,5.7094999886,9.0056230454,0.7996217384,63.72009430000001,0.8761746654,-0.088936226,0.8305212411999999,1.0,0.006500011400000005
Bosnia and Herzegovina,2017,5.09,9.532,0.775,67.5,0.564,0.092,0.923,Central and Eastern Europe,1,5.09,9.532,0.775,67.5,0.564,0.092,0.923,1.0,0.0
Bosnia and Herzegovina,2018,5.887,9.576,0.836,67.8,0.659,0.123,0.913,Central and Eastern Europe,1,5.887,9.576,0.836,67.8,0.659,0.123,0.913,1.0,0.0
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,Central and Eastern Europe,1,6.016,9.609,0.873,68.1,0.722,0.079,0.963,1.0,0.0
Bosnia and Herzegovina,2020,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,Central and Eastern Europe,1,5.4582,9.5348,0.7895999999999999,67.5,0.6418,0.0746,0.9432,1.0,0.17599992200000036
Bosnia and Herzegovina,2020,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,Central and Eastern Europe,1,5.537999999999999,9.56,0.8382,67.8,0.6636000000000001,0.1132,0.9344,1.0,0.17599992200000036
Bosnia and Herzegovina,2021,5.813,9.59,0.87,68.098,0.706,0.113,0.931,Central and Eastern Europe,1,5.6366199844,9.551163444599998,0.8424408284,67.921627198,0.6672705407999999,0.1060549118,0.9297538214,1.0,0.1763800155999995
Botswana,2017,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,Sub-Saharan Africa,0,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,0.0,0.0
Botswana,2018,3.461,9.778,0.795,58.9,0.818,-0.254,0.807,Sub-Saharan Africa,0,3.461,9.778,0.795,58.9,0.818,-0.254,0.807,0.0,0.0
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,Sub-Saharan Africa,0,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.0,0.0
Botswana,2020,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,Sub-Saharan Africa,0,3.5396,9.7582,0.7842,58.2,0.8353999999999999,-0.2219999999999999,0.7837999999999999,0.0,0.060700044000000286
Botswana,2021,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,Sub-Saharan Africa,0,3.4829799912,9.755640714999998,0.7768243514,58.624890748,0.8282656208000001,-0.2488788985999999,0.7673861829999999,0.0,0.015979991200000043
Brazil,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,Latin America and Caribbean,1,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,1.0,0.0
Brazil,2018,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,Latin America and Caribbean,1,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,1.0,0.0
Brazil,2019,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,Latin America and Caribbean,1,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,1.0,0.0
Brazil,2020,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,Latin America and Caribbean,1,6.3794,9.5924,0.901,66.2,0.7904,-0.094,0.7742,1.0,0.043700000000000294
Brazil,2020,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,Latin America and Caribbean,1,6.292,9.5728,0.8858,66.4,0.7878000000000001,-0.1014,0.7658,1.0,0.043700000000000294
Brazil,2021,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,Latin America and Caribbean,1,6.2921199722,9.570486972,0.8827447614,66.496032714,0.7863609614,-0.1017624784,0.7637202546,1.0,0.037880027799999993
Bulgaria,2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,Central and Eastern Europe,1,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,1.0,0.0
Bulgaria,2018,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,Central and Eastern Europe,1,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,1.0,0.0
Bulgaria,2019,5.108,10.047,0.948,67.0,0.822,-0.109,0.943,Central and Eastern Europe,1,5.108,10.047,0.948,67.0,0.822,-0.109,0.943,1.0,0.0
Bulgaria,2020,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,Central and Eastern Europe,1,5.0014,9.9668,0.9296,66.6,0.7144,-0.1618,0.9366,1.0,0.0732999999999997
Bulgaria,2020,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,Central and Eastern Europe,1,5.148,9.9884,0.9312,66.8,0.7505999999999999,-0.1226,0.9286,1.0,0.0732999999999997
Bulgaria,2021,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,Central and Eastern Europe,1,5.2007000068,9.9766637924,0.9335680686,66.88079559399999,0.7596356326,-0.1173816881999999,0.9285170282,1.0,0.06529999320000002
Burkina Faso,2017,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,Sub-Saharan Africa,0,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,0.0,0.0
Burkina Faso,2018,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,Sub-Saharan Africa,0,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,0.0,0.0
Burkina Faso,2019,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,Sub-Saharan Africa,0,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,0.0,0.0
Burkina Faso,2020,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,Sub-Saharan Africa,0,4.587999999999999,7.629399999999999,0.7204,53.4,0.6634,-0.0154,0.7254,0.0,0.18070012300000116
Burkina Faso,2021,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,Sub-Saharan Africa,0,4.6579400246,7.609508991999999,0.7219887228,53.697890778,0.6647127166,-0.0200161032,0.7347590058000001,0.0,0.1760599753999994
Burundi,2018,3.775,6.635,0.485,53.4,0.646,-0.024,0.599,Sub-Saharan Africa,0,3.775,6.635,0.485,53.4,0.646,-0.024,0.599,0.0,0.0
Burundi,2020,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,Sub-Saharan Africa,0,3.8024,6.914199999999999,0.4939999999999999,51.9422,0.5378,-0.0346,0.71,0.0,0.02709997399999997
Burundi,2021,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,Sub-Saharan Africa,0,3.5906600052,6.6771284806,0.4576651438,51.792000306,0.5240700448,-0.0363103194,0.6817869094000001,0.0,0.18433999479999974
Cambodia,2017,4.586,8.276,0.765,61.2,0.964,0.088,0.821,Southeast Asia,1,4.586,8.276,0.765,61.2,0.964,0.088,0.821,1.0,0.0
Cambodia,2018,5.122,8.333,0.795,61.6,0.958,0.036,0.8467307538333332,Southeast Asia,1,5.122,8.333,0.795,61.6,0.958,0.036,0.8479822343076922,1.0,0.0
Cambodia,2019,4.998,8.387,0.759,62.0,0.957,0.013,0.828,Southeast Asia,1,4.998,8.387,0.759,62.0,0.957,0.013,0.828,1.0,0.0
Cambodia,2020,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,Southeast Asia,1,4.665800000000001,8.2788,0.7588,61.2,0.9586,0.0846,0.8323964468615385,1.0,0.16110011599999918
Cambodia,2020,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,Southeast Asia,1,4.7088,8.3166,0.7577999999999999,61.6,0.96,0.053,0.8399964468615384,1.0,0.16110011599999918
Cambodia,2021,4.83,8.36,0.765,62.0,0.959,0.034,0.843,Southeast Asia,1,4.7862800232,8.3215780654,0.7632161294,61.745993652,0.9603409276,0.0481822358,0.8365502560615384,1.0,0.04371997680000028
Cameroon,2017,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,Sub-Saharan Africa,0,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,0.0,0.0
Cameroon,2018,5.251,8.19,0.677,52.7,0.816,0.036,0.884,Sub-Saharan Africa,0,5.251,8.19,0.677,52.7,0.816,0.036,0.884,0.0,0.0
Cameroon,2019,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,Sub-Saharan Africa,0,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,0.0,0.0
Cameroon,2020,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,Sub-Saharan Africa,0,5.0232,8.176999999999998,0.6776,51.9,0.7597999999999999,0.0091999999999999,0.8583999999999999,0.0,0.041399901999999766
