Country_name,year,Regional_indicator,Life_Ladder,Life_Ladder_Avg,MAE
Ireland,2020,Western Europe,7.093699932,7.166,0.07230006800000055
Ireland,2021,Western Europe,7.085,7.143,0.05799999999999983
Israel,2020,Middle East and North Africa,7.128600121,6.094,1.0346001209999995
Israel,2021,Middle East and North Africa,7.157,6.093,1.064
Italy,2020,Western Europe,6.38740015,6.195,0.1924001500000001
Italy,2021,Western Europe,6.483,6.194,0.2889999999999997
Ivory Coast,2020,Sub-Saharan Africa,5.233300209,4.305,0.9283002090000005
Ivory Coast,2021,Sub-Saharan Africa,5.306,4.247,1.0590000000000002
Jamaica,2020,Latin America and Caribbean,5.889800072,5.975,0.08519992799999976
Jamaica,2021,Latin America and Caribbean,6.309,5.985,0.32399999999999984
Japan,2020,East Asia,5.870800018,5.879,0.008199981999999828
Japan,2021,East Asia,5.94,5.836,0.10400000000000009
Jordan,2020,Middle East and North Africa,4.633399963,5.19,0.5566000370000008
Jordan,2021,Middle East and North Africa,4.395,5.139,0.7440000000000007
Kazakhstan,2020,Commonwealth of Independent States,6.057899952,5.818,0.23989995200000003
Kazakhstan,2021,Commonwealth of Independent States,6.152,5.821,0.3310000000000004
Kenya,2020,Sub-Saharan Africa,4.583000183,4.691,0.10799981699999961
Kenya,2021,Sub-Saharan Africa,4.607,4.657,0.04999999999999982
Kosovo,2020,Central and Eastern Europe,6.325200081,5.381,0.944200081
Kosovo,2021,Central and Eastern Europe,6.372,5.44,0.9319999999999995
Kuwait,2020,Middle East and North Africa,6.102099895,6.102,9.989499999996099e-05
Kuwait,2021,Middle East and North Africa,6.106,6.089,0.01699999999999946
Kyrgyzstan,2020,Commonwealth of Independent States,5.541500092,5.23,0.3115000919999993
Kyrgyzstan,2021,Commonwealth of Independent States,5.744,5.22,0.524
Laos,2020,Southeast Asia,4.888599873,4.915,0.026400126999999607
Laos,2021,Southeast Asia,5.03,4.905,0.125
Latvia,2020,Central and Eastern Europe,5.949999809,5.666,0.283999809
Latvia,2021,Central and Eastern Europe,6.032,5.662,0.3700000000000001
Lebanon,2020,Middle East and North Africa,4.771500111,5.147,0.3754998890000003
Lebanon,2021,Middle East and North Africa,4.584,5.116,0.532
Lesotho,2020,Sub-Saharan Africa,3.652800083,4.374,0.7211999169999999
Lesotho,2021,Sub-Saharan Africa,3.512,4.211,0.6990000000000003
Liberia,2020,Sub-Saharan Africa,4.557899952,3.928,0.6298999519999997
Liberia,2021,Sub-Saharan Africa,4.625,3.956,0.669
Libya,2020,Middle East and North Africa,5.488800049,5.39,0.09880004900000028
Libya,2021,Middle East and North Africa,5.41,5.397,0.0129999999999999
Lithuania,2020,Central and Eastern Europe,6.215499878,5.734,0.48149987800000016
Lithuania,2021,Central and Eastern Europe,6.255,5.764,0.49099999999999966
Luxembourg,2020,Western Europe,7.237500191,7.191,0.0465001909999998
Luxembourg,2021,Western Europe,7.324,7.144,0.17999999999999972
Madagascar,2020,Sub-Saharan Africa,4.165599823,3.775,0.39059982300000007
Madagascar,2021,Sub-Saharan Africa,4.208,3.78,0.4280000000000004
Malawi,2020,Sub-Saharan Africa,3.538000107,3.662,0.12399989300000014
Malawi,2021,Sub-Saharan Africa,3.6,3.69,0.08999999999999986
